episode,total_reward,timesteps,seed,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y
1,6.0,28,,1.5,1,18,9,3,1.5,6,18,1,0,1.5,3,18,5,0,1.5,7,0,9,18
2,6.0,21,,1.5,0,17,9,12,1.5,9,3,2,1,1.5,0,16,0,15,1.5,9,4,6,3
3,6.0,17,,1.5,3,16,9,15,1.5,5,9,9,10,1.5,9,9,6,19,1.5,4,10,9,0
4,6.0,36,,1.5,3,9,6,6,1.5,3,3,5,18,1.5,8,18,4,9,1.5,4,1,3,16
5,6.0,23,,1.5,6,0,8,10,1.5,7,9,0,16,1.5,4,0,9,16,1.5,3,15,2,19
6,1.0,100,,-0.5,9,16,0,13,0.5,9,11,0,15,0.5,7,19,3,13,0.5,3,9,0,4
7,6.0,44,,1.5,0,17,0,6,1.5,9,12,6,1,1.5,9,3,6,18,1.5,0,12,4,1
8,6.0,20,,1.5,3,13,9,9,1.5,6,9,3,3,1.5,1,1,6,5,1.5,9,19,8,0
9,6.0,25,,1.5,5,10,9,14,1.5,9,3,2,18,1.5,9,5,0,16,1.5,3,16,8,0
10,6.0,18,,1.5,4,0,9,13,1.5,7,10,5,10,1.5,8,9,7,9,1.5,3,13,6,15
